,0
lexiscan stress testing$procedure,1
small$modifier$lipoma$problem,1
weight$body_measurement$143$measurement_value,1
interactive$finding,3
polypoid$problem$endometrium$anatomical_structure,1
ankle$anatomical_structure$surgery$procedure,1
lymph node$anatomical_structure,1
elbow$anatomical_structure$left$modifier,1
fluid$finding$subcutaneous tissue$anatomical_structure,1
combined chemoradiation$procedure$pharynx$anatomical_structure,1
topical antibiotic drops$medicine,2
continue$modifier$statin$medicine,2
normal$modifier$s2$body_function,3
orthostatic mouth opener$medical_device,1
fastest$modifier$rate$body_measurement$102$measurement_value,1
singulair$medicine,4
nonpreserved lidocaine$medicine,5
motor cycle accident$problem,1
clear$modifier$nasal discharge$finding,1
sensorineural hearing loss$problem$right-hand side$modifier,1
flank$anatomical_structure$pain$problem,2
mild$modifier$senile dementia$problem,1
allergic$problem,4
gangrene$problem,1
continue$modifier$lovenox$medicine,1
debridement arthroscopy$procedure,1
upper$modifier$inner$modifier$quadrant$anatomical_structure,2
drug eluding stent insertion$procedure$right coronary artery$anatomical_structure,1
sensitivities$problem,1
myocardial$problem,1
intracranial bleed$problem,2
mrsa pneumonia$problem,3
ativan$medicine,3
total myometrial thickness$finding,1
canal of guyon$anatomical_structure,1
cozaar$medicine,3
echocardiography$procedure,1
intravenous fluids$medicine,2
anterior-inferior myringotomies$procedure,1
alt$laboratory_data,4
lymphatic system$anatomical_structure$cervical$problem,1
continue$modifier$aspirin$medicine,2
infection$problem$lung$anatomical_structure,1
normal$modifier$genitalia$anatomical_structure,1
tetanus$medicine,2
thyroid$anatomical_structure$calcifications$problem,1
fluoroscopy$procedure,1
topical$modifier$anesthesia$procedure,1
s1$body_function,10
some$modifier$problems$problem,1
right$modifier$knee$anatomical_structure$pain$problem,1
ovarian excision$procedure,1
right$modifier$rotator cuff$anatomical_structure$surgery$procedure,1
maxillary sinus$anatomical_structure$thick mucus$finding,1
ischemic cardiomyopathy$problem$better$modifier,1
removal of left labial nodules$procedure,1
arterial puncture$problem,2
mild$modifier$colitis$problem$cecum$anatomical_structure,1
cholelithiasis$problem,5
weight$body_measurement$6$measurement_value,1
direct visualization$procedure,3
cognitive limitations$finding,1
ascending colon$anatomical_structure,1
pain$problem$jaw$anatomical_structure,1
breath sounds$body_function$coarse$modifier,1
injection$procedure,2
end-stage$modifier$copd$problem,1
ovaries$anatomical_structure$multiple$modifier$cysts$problem,1
left$modifier$elbow$anatomical_structure$pain$problem$decreased$modifier$significantly$modifier,1
squamous cell carcinoma$problem,2
small-bowel obstruction$problem,1
rhinorrhea$problem,1
extensive$modifier$right$modifier$lower$modifier$lobe$anatomical_structure$mrsa pneumonia$problem,1
tooth$anatomical_structure,1
cystocele$problem,1
headache$problem,14
small amount$modifier$inflammatory tissue$problem,1
enlarged fibroid$problem$uterus$anatomical_structure,1
adjuvant arimidex$medicine,1
creatinine$laboratory_data$significantly$modifier$elevated$modifier,1
renal ultrasound$procedure,1
underlying$modifier$dementia$problem,1
contractions$finding,5
mammography$procedure,2
right$modifier$radical modified mastoidectomy$procedure,1
deep wound infection$problem,1
hands$anatomical_structure,1
weight$body_measurement$40$measurement_value,1
acute$modifier$issues$problem,1
inferior$modifier$myocardial infarction$problem,1
mucosa$anatomical_structure$hypertrophic$problem,1
amyloidosis$problem,1
diflucan$medicine$discontinued$modifier,1
cabg$procedure$lad$anatomical_structure,2
respiratory rate$body_measurement,1
risks of conscious sedation$finding,1
cervical$problem,12
jvd$problem,2
cataract extraction$procedure$left$modifier$eye$anatomical_structure,2
pulmonary vasculitis$problem,1
phenobarbital level$laboratory_data,1
mri$procedure,3
heparin infusion$medicine,1
left$modifier$lung$anatomical_structure$white out$finding,1
codeine$medicine,1
edema$problem$lower$modifier$extremities$anatomical_structure,1
sore throat$problem,10
hemorrhagic$problem$endometrial lining$anatomical_structure,1
direct vision$procedure,1
anorexia$problem,1
nauseous$problem,1
esophageal biopsy$procedure,1
acute$modifier$bronchospasm$problem,1
persistent$modifier$atrial fibrillation$problem,1
genitalia$anatomical_structure$normal$modifier,6
cognitive disorder$problem,1
senna-s$medicine,1
cervical pain$problem$right$modifier$shoulder area$anatomical_structure,1
chronic$modifier$ear$anatomical_structure$infections$problem,1
cirrhosis$problem$liver$anatomical_structure,1
pain$problem,52
degenerative disc disease$problem$l5-s1$anatomical_structure,1
knee$anatomical_structure$replacement$procedure,2
slight$modifier$dysuria$problem,2
ferritin$laboratory_data,1
jejunostomy tube$medical_device,1
alveolar infiltrate$problem$superior segment$modifier$left$modifier$lower$modifier$lobe$anatomical_structure$improved$modifier,1
multiple$modifier$antiepileptics$medicine,1
port-a-cath$medical_device,1
blood pressure$body_measurement$124/66$measurement_value,1
painful$problem$right$modifier$knee$anatomical_structure,1
discomfort$problem$right side$modifier$abdomen$anatomical_structure,1
reticulocyte$laboratory_data,1
canal$anatomical_structure$mild$modifier$thrombosed external hemorrhoid$problem,1
colon screening evaluation$procedure,2
carbamazepine level$laboratory_data,1
ct scan$procedure$chest$anatomical_structure,2
liver$anatomical_structure$homogenous$modifier$focal lesion$problem,1
cvas$problem,1
low grade fevers$problem,1
recreational drug use$problem,1
postoperative anemia$problem,2
small$modifier$drusen$finding$eye$anatomical_structure,1
mpv$laboratory_data,2
blood pressure$body_measurement$113/49$measurement_value,1
cortical cataracts$problem,1
fevers$problem,6
increasing$modifier$white count$laboratory_data,1
anterior cord replacement$procedure,1
palpation$modifier$abdomen$anatomical_structure,1
gunshot wound$problem,1
svc$anatomical_structure,1
hypertension$problem$stable$modifier,4
induration$problem$left$modifier$foot$anatomical_structure,1
cervical biopsy$procedure,1
ovarian uterine cancer$problem,1
l1$anatomical_structure$retropulsion$problem,1
shallow laceration$problem$anterior$modifier$ankle$anatomical_structure,1
transesophageal echocardiogram$procedure,1
bypass surgery$procedure,1
ventricle$anatomical_structure,1
extremities$anatomical_structure$pretibial edema$problem,1
blood pressure$body_measurement$102/56$measurement_value,1
diastolic dysfunction-induced congestive heart failure$problem,1
exacerbation$modifier$copd$problem,2
nasopharynx$anatomical_structure,1
normal$modifier$s1$body_function,3
prothrombin time$laboratory_data$prolonged$modifier,1
nose$anatomical_structure$occasional$modifier$green discharge$finding$clear$modifier,1
o2 saturation$body_measurement$100%$measurement_value,1
hollow viscous$anatomical_structure,1
bss$medicine,1
sun damaged$finding$dermis$anatomical_structure,1
esophagogastroduodenoscopy$procedure,4
permanent$modifier$atrial fibrillation$problem,1
ultrasound guidance$procedure,1
nose$anatomical_structure,10
omnipaque$medicine,1
endometrial hyperplasia$problem,1
degenerative disk disease$problem,1
continue$modifier$norvasc$medicine,1
ef$body_function,1
negative$modifier$fever$problem,1
ptt$laboratory_data,1
deconditioning$problem,5
increased$modifier$redness$problem,1
slowest heart rate$body_measurement$44$measurement_value,1
kidney$anatomical_structure$stones$problem,2
slit lamp examination$procedure,1
osteoarthritis$finding,4
enlarged$finding$lymph nodes$anatomical_structure,1
history of stroke$problem,1
right$modifier$upper$modifier$arm$anatomical_structure$anterolateral surface$modifier$pale dry wound$problem,1
hctz$medicine,1
remarkable$modifier$hyperthyroidism$problem,1
endoscopic guidance$procedure,1
drug eluding stent insertion$procedure$circumflex coronary artery$anatomical_structure,1
some$modifier$distal$modifier$sigmoid$anatomical_structure$inflammation$problem,1
right$modifier$left$modifier$kidneys$anatomical_structure$normal$modifier$echogenicity$finding,1
microscope$medical_device,1
continue$modifier$current$modifier$blood pressure medications$medicine,1
lobular carcinoma$problem,1
hemodynamic instability$problem,1
demerol$medicine,1
small cell lung cancer$problem,1
significant$modifier$breast$anatomical_structure$cancer$problem,1
transient ischemia attack$problem,1
depo-medrol$medicine,1
right$modifier$percutaneous transluminal coronary angioplasty$procedure,1
soft$modifier$abdomen$anatomical_structure$distention$problem,1
blood pressure$body_measurement$167/70$measurement_value,1
decidual plate$anatomical_structure$vasculopathy$problem,1
continue$modifier$reduced$modifier$hydrochlorothiazide$medicine,1
ovarian torsion$problem,1
thiamine$medicine,1
injected$procedure$paracentesis site$anatomical_structure,5
cerebral palsy$problem,1
low-grade temperature$problem,1
decreased$modifier$breath sounds$body_function$bilaterally$modifier,1
arms$anatomical_structure$some$modifier$erythematous papular lesions$problem$diffuse$modifier,1
endometrium$anatomical_structure,1
well controlled$modifier$ventricular rate$body_measurement,1
mid$modifier$rca$anatomical_structure$lesion$problem,1
blood pressure$body_measurement$102/58$measurement_value,1
chronic$modifier$joint$anatomical_structure$pain$problem,1
nuclear sclerotic$problem$right$modifier$eye$anatomical_structure,5
left$modifier$knee manipulation$procedure,1
g-tube site$anatomical_structure$inflamed$problem,1
blurring of vision$problem,1
anxiety$finding,7
arms$anatomical_structure$jerking$problem,1
pulse oximeter$body_measurement$99%$measurement_value,1
hysteroscope$medical_device,1
acetaminophen$medicine,1
neck$anatomical_structure$jvd$problem,4
right$modifier$facial pain$problem,1
weight$body_measurement$140$measurement_value,1
chest$anatomical_structure$tightness$problem,1
spiriva inhaler$medicine,1
turbinate$anatomical_structure$reduction$procedure,1
trach site$anatomical_structure$patent$modifier,1
ruptured appendicitis$problem,1
torn$problem$rotator cuff$anatomical_structure,1
incisions$procedure,5
left$modifier$ventricular contractility$problem,1
injected$procedure$anterior$modifier$chamber$anatomical_structure,2
significant$modifier$debility$problem,1
air$finding$skull base$anatomical_structure,1
back$anatomical_structure$gross deformity$problem,1
left$modifier$lower$modifier$extremity$anatomical_structure$dvt$problem,1
significant$modifier$shortness of breath$problem,1
umbilical cord$anatomical_structure$lacking$modifier$thrombosis$problem,1
persistent$modifier$vomiting$problem,1
palpable$modifier$lymphadenopathy$problem$left$modifier$cervical area$anatomical_structure,1
abdomen$anatomical_structure$nontender$modifier$supple$modifier$hepatosplenomegaly$problem,1
minor$modifier$nonspecific$modifier$t-wave$body_function$changes$finding,1
bp$body_measurement$140/90$measurement_value,1
blood sugar$body_measurement$normal$modifier,1
sigmoid colon$anatomical_structure$polyps$problem,1
ectatic aortic$finding$descending aorta$anatomical_structure,1
cardiorespiratory symptoms$problem,3
heent$anatomical_structure$significant$modifier$finding$finding,1
hypothyroid$problem,1
bipap$procedure,1
rca$anatomical_structure$lesions$problem,1
continue$modifier$ultram$medicine,1
increasing$modifier$abdominal pain$problem,1
hypoxemic$problem,1
band neutrophils$laboratory_data,1
chronic$modifier$pain$problem$left$modifier$leg$anatomical_structure,1
pa pressure$body_function,1
rheumatoid arthritis$problem,6
early$modifier$dementia$problem,1
diverticulosis$problem,3
bunionectomy$procedure,1
possible$modifier$urinary tract infection$problem,1
pelvic examination$procedure,4
resection$procedure$adenoids$anatomical_structure,1
dorsal$modifier$linear incision$procedure,1
ivc filter placed$procedure,1
ventilator-dependent respiratory failure$problem,7
active crohn's disease$problem,1
bilirubin$laboratory_data,3
normal$modifier$ovaries$anatomical_structure$bilaterally$modifier,1
standard divide-and-conquer technique$procedure,2
hypertension$problem$controlled$modifier,1
bilateral$modifier$occipital headache$problem,1
recurrent$modifier$suicidal ideation$problem,1
severe$modifier$malnutrition$problem,1
awaken$finding,1
klebsiella$problem,1
urinary tract$anatomical_structure$abnormalities$problem,1
heent$anatomical_structure$obesity$problem,1
severe$modifier$anemia$problem,1
right$modifier$lower$modifier$lobe$anatomical_structure$mass$problem,1
gi problems$problem,1
blood pressure$body_measurement,10
nocturia$problem$occasional$modifier,1
clamp$medical_device,1
lumbar puncture$procedure,2
sphincterotomy$procedure,1
cyst$problem,1
blood pressure$body_measurement$140/70$measurement_value,2
bilateral myringotomies$procedure,1
temperature$body_measurement$97.9$measurement_value,1
fibular head$anatomical_structure,1
thrombocytosis$problem,1
ankle$anatomical_structure$evertors$modifier,1
murmur$problem,8
ischial tuberosity$problem,1
moderately differentiated$modifier$squamous cell carcinoma$problem,1
sigmoid colectomy$procedure,1
hypertensive heart disease$problem,3
bradycardia$finding,4
anoxic brain injury$problem,1
tissue$anatomical_structure$associated foreign material$finding,1
awake$finding,8
granuloma$problem$absent$modifier,2
drains$medical_device,1
milk of mag$medicine,1
endoscopy$procedure$negative$modifier,1
swelling$problem$ankles$anatomical_structure,1
stress$problem,1
heent$anatomical_structure$unremarkable$modifier$lesions$problem,1
peritoneum$anatomical_structure,2
versed$medicine,11
diamond blade keratome$medical_device,5
subcutaneous fat$anatomical_structure,1
lad$anatomical_structure,3
cervix$anatomical_structure$active bleeding$problem,1
right$modifier$fallopian tube$anatomical_structure,1
bilateral$modifier$ovarian wedge resections$procedure,1
resected$procedure,4
clear$modifier$cornea$anatomical_structure,9
bronchorrhea$problem,1
cvph ecc$procedure,1
emphysema$problem$predominant$modifier,1
speculum$medical_device,3
pseudomonas aeruginosa$problem,3
local lidocaine$medicine,3
spontaneous bacterial peritonitis$problem,1
chest$anatomical_structure,17
oxygen saturation$body_measurement$100%$measurement_value,1
left$modifier$lower$modifier$foot$anatomical_structure$prepped$procedure,1
line sepsis$problem,1
transient$modifier$global amnesia$problem,1
imrt technique$procedure,1
s2$body_function,10
rdw$laboratory_data,2
weck-cel sponge$medical_device,10
tracheostomy tube$medical_device,3
complications$problem,23
cataract removal$procedure,1
purpura$finding$forearms$anatomical_structure,1
polyuria$problem,2
ischemia$problem,5
air$finding$mediastinum$anatomical_structure,1
severe$modifier$myopathy$problem,1
heart rate$body_measurement$90$measurement_value,1
bilateral$modifier$inguinal hernia repairs$procedure,1
recurrent$modifier$tonsillitis$problem,1
head$anatomical_structure,10
cauterizing$procedure$gallbladder$anatomical_structure,1
long-term$modifier$anticoagulants$medicine,1
acute$modifier$inflammation$problem,1
gbs prophylaxis$procedure,1
recurrent$modifier$pain$problem,1
eyes$anatomical_structure,10
right$modifier$lower$modifier$quadrant$anatomical_structure$pain$problem,2
coreg$medicine,2
systolic ejection murmur$problem,1
pelvic adhesions$problem,1
oral procedure$procedure,5
breath sounds$body_function$equal$modifier,1
left$modifier$upper$modifier$lobe$anatomical_structure,1
letrozole$medicine,2
anticoagulation treatment$procedure,1
infection$problem$thigh$anatomical_structure,1
increased$modifier$tenderness$problem,1
nasal mucosa$anatomical_structure$pink$modifier$moist$modifier,1
lexapro$medicine,4
perirectal abscess$problem,1
soft$modifier$abdomen$anatomical_structure$organomegaly$problem,1
twisting$problem$knee$anatomical_structure,1
moderately differentiated$modifier$squamous cell carcinoma$problem$laryngeal epiglottis$anatomical_structure,1
incision$procedure$inferior$modifier$clavicular area$anatomical_structure,1
vancomycin$medicine,1
junctional melanocytic nevus$anatomical_structure$acquired$modifier$melanosis$problem,1
axillary lymph nodes$anatomical_structure,3
ureteropelvic junction$anatomical_structure$severe$modifier$pain$problem,1
hyperventilation obesity syndrome$problem,1
betadine scrub$medicine,1
extubation$procedure,2
local anesthesia$procedure,6
colonoscope$medical_device,8
extremities$anatomical_structure,11
acute on chronic$modifier$respiratory failure$problem$multifactorial$modifier,1
numerous$modifier$mesothelial cells$anatomical_structure$reactive$modifier$degenerative changes$problem,1
continue$modifier$vasotec$medicine,1
adnexal masses$problem$bilaterally$modifier,1
l2$anatomical_structure$lumbar spine surgery fusion$procedure,1
rash flared$problem,1
throat$anatomical_structure$positive$modifier$erythema$problem,1
a-scan examination$procedure,1
left$modifier$pelvic$procedure,1
mchc$laboratory_data,1
blood pressure$body_measurement$150/79$measurement_value,1
sessile poly$problem,1
continue$modifier$iv antibiotics$medicine,1
off-white flecks$finding,1
ejection fraction$body_function$normal$modifier,1
venous surgery$procedure,1
severe$modifier$peripheral arterial disease$problem,1
discharge$finding$nose$anatomical_structure$yellow$modifier,1
endocardial ablation$procedure,1
severe$modifier$small bowel$anatomical_structure$obstruction$problem,1
hypercarbic respiratory failure$problem,1
endometrial lining$anatomical_structure,1
carbohydrate$medicine,1
thick mucus$finding$maxillary sinuses$anatomical_structure,2
anemia of chronic renal failure$problem,2
fluid overload$finding,4
hypertensive heart disease$problem$stable$modifier,1
prilosec$medicine,2
uterus$anatomical_structure$adnexal masses$problem$palpated$modifier,1
nephrectomy$procedure,1
pulse rate$body_measurement$52$measurement_value,1
aortic aneurysm$problem,1
bph$problem,12
v-waves$finding,1
degenerative changes$problem$ankle joint$anatomical_structure,1
chronic otitis media$problem,1
multiple$modifier$medical issues$problem,1
multiplanar reformatting$procedure,1
intraocular lesion$problem$right$modifier$eye$anatomical_structure,1
flares$problem,1
right$modifier$foot$anatomical_structure$shallow laceration$problem,1
tired$problem,2
vasopressors$medicine,4
adjuvant chemotherapy$procedure,5
left$modifier$lower$modifier$lobe$anatomical_structure,1
continue$modifier$medical therapy$procedure,1
intestinal obstruction$problem,1
genitourinary symptoms$problem,3
basophil$laboratory_data,1
internal hemorrhoids$problem,3
conjunctivae$anatomical_structure$pink$modifier,1
platelet count$laboratory_data,19
hypercapnia$problem,1
spinal cord$anatomical_structure$compression$problem,1
precordium$anatomical_structure$palpation$modifier,1
glucose$laboratory_data,8
accu-cheks$laboratory_data,1
spleen$anatomical_structure$palpable$modifier,1
little$modifier$deformity$problem$right side$modifier$face$anatomical_structure,1
bystolic$medicine,1
throat$anatomical_structure$lesions$problem,2
trace$modifier$macular pigmentary changes$problem$eyes$anatomical_structure,1
lungs$anatomical_structure,17
fluocinonide$medicine,1
ruptured diverticulitis$problem,1
complaints$problem,7
cardiac stent placement$procedure,1
advanced$modifier$copd$problem,1
glaucoma history$problem,1
total knee replacement$procedure$knee$anatomical_structure,1
vesicouterine peritoneum$anatomical_structure,1
multiple$modifier$dental restorations$procedure,5
adjacent$modifier$colon$anatomical_structure,1
thrombocytopenia$problem$persist$modifier,1
microvasive traction removal g-tube$procedure,1
broad-spectrum antibiotics$medicine,2
acute$modifier$compensated congestive heart failure$problem,1
non-hodgkin s lymphoma$problem,1
prediabetes$problem$treated$modifier,1
some$modifier$mucous$finding,1
congestive heart failure$problem,91
lungs$anatomical_structure$coarse rhonchi$problem$bilaterally$modifier,1
two$modifier$nodular densities$problem$left$modifier$breast$anatomical_structure,1
depression$problem$major$modifier,1
iv solu-medrol$medicine,1
procrit$medicine,1
two-stage revision$procedure,1
uncooperative$finding,1
acute$modifier$respiratory failure$problem,6
dilated$finding$small bowel$anatomical_structure,1
pulmonary aspergillosis$problem,1
decongested$problem$nasal cavities$anatomical_structure,1
out-of-control$modifier$pain$problem,1
total$modifier$knee$anatomical_structure$arthroplasty$procedure,1
iv versed$medicine,1
oozing$finding,1
neck$anatomical_structure$supple$modifier$jvd$problem,1
large$modifier$clot$problem$left$modifier$atrium$anatomical_structure,1
intraepithelial component$anatomical_structure,1
ge junction$anatomical_structure$normal$modifier,1
